T,Alt,Veloc,AccelG,AccelFPSS,VAccel,AltAccel,Filt_Alt,FVeloc,FAccelG,FAccelFPSS,FAccelVel,FAccelAlt,LDA,MaxV,MaxA,BO#1,LowV,Apogee,N-O,CH2,CH5
-1,6,0,0,0.47,0,0,6,0,0,0.47,0,0,0,0,0,0,0,0,0,0,0
-0.95,5,0,0,-0.47,0,0,5,0,0,-0.47,0,0,0,0,0,0,0,0,0,0,0
-0.9,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.85,4,0,0,0.47,0,0,4,0,0,0.47,0,0,0,0,0,0,0,0,0,0,0
-0.8,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.75,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.7,6,0,0,-0.47,0,0,6,0,0,-0.47,0,0,0,0,0,0,0,0,0,0,0
-0.65,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.6,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.55,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.5,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.45,7,0,0,0.47,0,0,7,0,0,0.47,0,0,0,0,0,0,0,0,0,0,0
-0.4,8,0,0,-0.95,0,0,8,0,0,-0.95,0,0,0,0,0,0,0,0,0,0,0
-0.35,9,0,0,0.47,0,0,9,0,0,0.47,0,0,0,0,0,0,0,0,0,0,0
-0.3,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.25,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.2,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.15,8,0,0,-0.47,0,0,8,0,0,-0.47,0,0,0,0,0,0,0,0,0,0,0
-0.1,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.05,8,0,0,0.47,0,0,8,0,0,0.47,0,0,0,0,0,0,0,0,0,0,0
0,5,100,0.5,14.68,0.7,0,1,20,0.1,4.07,0.2,0,0,0,0,0,0,0,0,0,0
0.05,10,100,8.4,269.91,14.2,0,2.8,36,1.8,57.24,3.1,0,0,0,0,0,0,0,0,0,0
